јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;NZVC;јдр;«нчн
1EB;200;1EB;0;0;0;0;0;0;100;;
1EB;200;1EC;200;1EB;200;0;01EB;0;100;;
1EC;EE19;1ED;EE19;206;0;0;19;0;100;206;0
1ED;AE17;1EE;AE17;205;F380;0;17;F380;1000;;
1EE;0C00;1EF;0C00;7FF;F380;7FF;01EE;F380;1000;7FF;F380
1EF;D663;663;D663;7FE;01F0;7FE;D663;F380;1000;7FE;01F0
663;AC01;664;AC01;7FF;F380;7FE;1;F380;1000;;
664;F001;665;F001;664;F001;7FE;664;F380;1000;;
665;F306;666;F306;665;F306;7FE;665;F380;1000;;
666;7,00E+08;667;7,00E+08;66F;F38F;7FE;8;F380;1000;;
667;F804;66C;F804;667;F804;7FE;4;F380;1000;;
66C;AE02;66D;AE02;66F;F38F;7FE;2;F38F;1000;;
66D;EC01;66E;EC01;7FF;F38F;7FE;1;F38F;1000;7FF;F38F
66E;0A00;1F0;0A00;7FE;01F0;7FF;066E;F38F;1000;;
1F0;800;1F1;800;7FF;F38F;0;01F0;F38F;1000;;
1F1;6,00E+14;1F2;6,00E+14;206;0;0;14;F38F;1001;;
1F2;EE13;1F3;EE13;206;F38F;0;13;F38F;1001;206;F38F
1F3;AE0F;1F4;AE0F;203;16;0;000F;16;1;;
1F4;740;1F5;740;1F4;740;0;01F4;15;1;;
1F5;0C00;1F6;0C00;7FF;15;7FF;01F5;15;1;7FF;15
1F6;D663;663;D663;7FE;01F7;7FE;D663;15;1;7FE;01F7
663;AC01;664;AC01;7FF;15;7FE;1;15;1;;
664;F001;665;F001;664;F001;7FE;664;15;1;;
665;F306;66C;F306;665;F306;7FE;6;15;1;;
66C;AE02;66D;AE02;66F;F38F;7FE;2;F38F;1001;;
66D;EC01;66E;EC01;7FF;F38F;7FE;1;F38F;1001;7FF;F38F
66E;0A00;1F7;0A00;7FE;01F7;7FF;066E;F38F;1001;;
1F7;800;1F8;800;7FF;F38F;0;01F7;F38F;1001;;
1F8;740;1F9;740;1F8;740;0;01F8;F38E;1001;;
1F9;6E0C;1FA;6E0C;206;F38F;0;000C;FFFF;1000;;
1FA;EE0B;1FB;EE0B;206;FFFF;0;000B;FFFF;1000;206;FFFF
1FB;AE08;1FC;AE08;204;FFAE;0;8;FFAE;1000;;
1FC;740;1FD;740;1FC;740;0;01FC;FFAD;1001;;
1FD;0C00;1FE;0C00;7FF;FFAD;7FF;01FD;FFAD;1001;7FF;FFAD
1FE;D663;663;D663;7FE;01FF;7FE;D663;FFAD;1001;7FE;01FF
663;AC01;664;AC01;7FF;FFAD;7FE;1;FFAD;1001;;
664;F001;665;F001;664;F001;7FE;664;FFAD;1001;;
665;F306;666;F306;665;F306;7FE;665;FFAD;1001;;
666;7,00E+08;667;7,00E+08;66F;F38F;7FE;8;FFAD;1;;
667;F804;668;F804;667;F804;7FE;667;FFAD;1;;
668;F003;669;F003;668;F003;7FE;668;FFAD;1;;
669;4C01;66A;4C01;7FF;FFAD;7FE;1;FF5A;1001;;
66A;4,00E+05;66B;4,00E+05;670;00A4;7FE;5;FFFE;1000;;
66B;CE01;66D;CE01;66B;066D;7FE;1;FFFE;1000;;
66D;EC01;66E;EC01;7FF;FFFE;7FE;1;FFFE;1000;7FF;FFFE
66E;0A00;1FF;0A00;7FE;01FF;7FF;066E;FFFE;1000;;
1FF;800;200;800;7FF;FFFE;0;01FF;FFFE;1000;;
200;6,00E+05;201;6,00E+05;206;FFFF;0;5;FFFF;1000;;
201;EE04;202;EE04;206;FFFF;0;4;FFFF;1000;206;FFFF
202;100;203;100;202;100;0;202;FFFF;1000;;
