јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;PS;NZVC;јдр;«нчн
1EB;0200;1EB;0000;000;0000;000;0000;0000;004;0100;;
1EB;0200;1EC;0200;1EB;0200;000;01EB;0000;004;0100;;
1EC;EE19;1ED;EE19;206;0000;000;0019;0000;004;0100;206;0000
1ED;AE17;1EE;AE17;205;F380;000;0017;F380;008;1000;;
1EE;0C00;1EF;0C00;7FF;F380;7FF;01EE;F380;008;1000;7FF;F380
1EF;D663;663;D663;7FE;01F0;7FE;D663;F380;008;1000;7FE;01F0
663;AC01;664;AC01;7FF;F380;7FE;0001;F380;008;1000;;
664;F001;665;F001;664;F001;7FE;0664;F380;008;1000;;
665;F306;666;F306;665;F306;7FE;0665;F380;008;1000;;
666;7E08;667;7E08;66F;F38F;7FE;0008;F380;008;1000;;
667;F804;66C;F804;667;F804;7FE;0004;F380;008;1000;;
66C;AE02;66D;AE02;66F;F38F;7FE;0002;F38F;008;1000;;
66D;EC01;66E;EC01;7FF;F38F;7FE;0001;F38F;008;1000;7FF;F38F
66E;0A00;1F0;0A00;7FE;01F0;7FF;066E;F38F;008;1000;;
1F0;0800;1F1;0800;7FF;F38F;000;01F0;F38F;008;1000;;
1F1;6E14;1F2;6E14;206;0000;000;0014;F38F;009;1001;;
1F2;EE13;1F3;EE13;206;F38F;000;0013;F38F;009;1001;206;F38F
1F3;AE0F;1F4;AE0F;203;0016;000;000F;0016;001;0001;;
1F4;0740;1F5;0740;1F4;0740;000;01F4;0015;001;0001;;
1F5;0C00;1F6;0C00;7FF;0015;7FF;01F5;0015;001;0001;7FF;0015
1F6;D663;663;D663;7FE;01F7;7FE;D663;0015;001;0001;7FE;01F7
663;AC01;664;AC01;7FF;15;7FE;0001;0015;001;0001;;
664;F001;665;F001;664;F001;7FE;0664;0015;001;0001;;
665;F306;66C;F306;665;F306;7FE;0006;0015;001;0001;;
66C;AE02;66D;AE02;66F;F38F;7FE;0002;F38F;009;1001;;
66D;EC01;66E;EC01;7FF;F38F;7FE;0001;F38F;009;1001;7FF;F38F
66E;0A00;1F7;0A00;7FE;01F7;7FF;066E;F38F;009;1001;;
1F7;0800;1F8;0800;7FF;F38F;000;01F7;F38F;009;1001;;
1F8;0740;1F9;0740;1F8;0740;000;01F8;F38E;009;1001;;
1F9;6E0C;1FA;6E0C;206;F38F;000;000C;FFFF;008;1000;;
1FA;EE0B;1FB;EE0B;206;FFFF;000;000B;FFFF;008;1000;206;FFFF
1FB;AE08;1FC;AE08;204;FFAE;000;0008;FFAE;008;1000;;
1FC;0740;1FD;0740;1FC;0740;000;01FC;FFAD;009;1001;;
1FD;0C00;1FE;0C00;7FF;FFAD;7FF;01FD;FFAD;009;1001;7FF;FFAD
1FE;D663;663;D663;7FE;01FF;7FE;D663;FFAD;009;1001;7FE;01FF
663;AC01;664;AC01;7FF;FFAD;7FE;0001;FFAD;009;1001;;
664;F001;665;F001;664;F001;7FE;0664;FFAD;009;1001;;
665;F306;666;F306;665;F306;7FE;0665;FFAD;009;1001;;
666;7E08;667;7E08;66F;F38F;7FE;0008;FFAD;001;0001;;
667;F804;668;F804;667;F804;7FE;0667;FFAD;001;0001;;
668;F003;669;F003;668;F003;7FE;0668;FFAD;001;0001;;
669;4C01;66A;4C01;7FF;FFAD;7FE;0001;FF5A;009;1001;;
66A;4E05;66B;4E05;670;00A4;7FE;0005;FFFE;008;1000;;
66B;CE01;66D;CE01;66B;066D;7FE;0001;FFFE;008;1000;;
66D;EC01;66E;EC01;7FF;FFFE;7FE;0001;FFFE;008;1000;7FF;FFFE
66E;0A00;1FF;0A00;7FE;01FF;7FF;066E;FFFE;008;1000;;
1FF;0800;200;0800;7FF;FFFE;000;01FF;FFFE;008;1000;;
200;6E05;201;6E05;206;FFFF;000;0005;FFFF;008;1000;;
201;EE04;202;EE04;206;FFFF;000;0004;FFFF;008;1000;206;FFFF
202;0100;203;0100;202;0100;000;0202;FFFF;008;1000;;
